Team,Brand value
Mumbai Indians,"2,700 crore (US$358.6 million)"
Chennai Super Kings,"2,500 crore (US$332.0 million)"
Kolkata Knight Riders,543 crore (US$72.1 million)
Royal Challengers Bangalore,536 crore (US$71.2 million)
Sunrisers Hyderabad,442 crore (US$58.7 million)
Delhi Capitals,370 crore (US$49.1 million)
Punjab Kings,318 crore (US$42.2 million)
Rajasthan Royals,249 crore (US$33.1 million)
New Lucknow Franchise(from 2022 season),"7,090 crore (US$941.6 million)"
New Gujarat Franchise(from 2022 season),"5,625 crore (US$747.0 million)"
