ID,Season,Match Number,Day,Date,Venue,Team1,Team2,Time
2022MS001,2022,1,Saturday,26-Mar-22,Wankhede Stadium,CSK,KKR,7:30 pm
2022MS002,2022,2,Sunday,27-Mar-22,Brabourne – CCI,DC,MI,3:30 pm
2022MS003,2022,3,Sunday,28-Mar-22,DY Patil Stadium,PBKS,RCB,7:30 pm
2022MS004,2022,4,Monday,28-Mar-22,Wankhede Stadium,GT,LSG,7:30 pm
2022MS005,2022,5,Tuesday,29-Mar-22,"MCA Stadium, Pune",SRH,RR,7:30 pm
2022MS006,2022,6,Wednesday,30-Mar-22,DY Patil Stadium,RCB,KKR,7:30 pm
2022MS007,2022,7,Thursday,31-Mar-22,Brabourne – CCI,LSG,CSK,7:30 pm
2022MS008,2022,8,Friday,01-Apr-22,Wankhede Stadium,KKR,PBKS,7:30 pm
2022MS009,2022,9,Saturday,02-Apr-22,DY Patil Stadium,MI,RR,3:30 pm
2022MS010,2022,10,Saturday,02-Apr-22,"MCA Stadium, Pune",GT,DC,7:30 pm
2022MS011,2022,11,Sunday,03-Apr-22,Brabourne – CCI,CSK,PBKS,7:30 pm
2022MS012,2022,12,Monday,04-Apr-22,DY Patil Stadium,SRH,LSG,7:30 pm
2022MS013,2022,13,Tuesday,05-Apr-22,Wankhede Stadium,RR,RCB,7:30 pm
2022MS014,2022,14,Wednesday,06-Apr-22,"MCA Stadium, Pune",KKR,MI,7:30 pm
2022MS015,2022,15,Thursday,07-Apr-22,DY Patil Stadium,LSG,DC,7:30 pm
2022MS016,2022,16,Friday,08-Apr-22,Brabourne – CCI,PBKS,GT,7:30 pm
2022MS017,2022,17,Saturday,09-Apr-22,DY Patil Stadium,CSK,SRH,3:30 pm
2022MS018,2022,18,Saturday,09-Apr-22,"MCA Stadium, Pune",RCB,MI,7:30 pm
2022MS019,2022,19,Sunday,10-Apr-22,Brabourne – CCI,KKR,DC,3:30 pm
2022MS020,2022,20,Sunday,10-Apr-22,Wankhede Stadium,RR,LSG,7:30 pm
2022MS021,2022,21,Monday,11-Apr-22,DY Patil Stadium,SRH,GT,7:30 pm
2022MS022,2022,22,Tuesday,12-Apr-22,DY Patil Stadium,CSK,RCB,7:30 pm
2022MS023,2022,23,Wednesday,13-Apr-22,"MCA Stadium, Pune",MI,PBKS,7:30 pm
2022MS024,2022,24,Thursday,14-Apr-22,DY Patil Stadium,RR,GT,7:30 pm
2022MS025,2022,25,Friday,15-Apr-22,Brabourne – CCI,SRH,KKR,7:30 pm
2022MS026,2022,26,Saturday,16-Apr-22,Brabourne – CCI,MI,LSG,3:30 pm
2022MS027,2022,27,Saturday,16-Apr-22,Wankhede Stadium,DC,RCB,7:30 pm
2022MS028,2022,28,Sunday,17-Apr-22,Brabourne – CCI,PBKS,SRH,3:30 pm
2022MS029,2022,29,Sunday,17-Apr-22,"MCA Stadium, Pune",GT,CSK,7:30 pm
2022MS030,2022,30,Monday,18-Apr-22,Brabourne – CCI,RR,KKR,7:30 pm
2022MS031,2022,31,Tuesday,19-Apr-22,DY Patil Stadium,LSG,RCB,7:30 pm
2022MS032,2022,32,Wednesday,20-Apr-22,"MCA Stadium, Pune",DC,PBKS,7:30 pm
