ID,Season,Franchise,Funds Remaining,Overseas Players,Total Players
2021AS001,2021,CSK,255,8,25
2021AS002,2021,DC,215,8,25
2021AS003,2021,KKR,320,8,25
2021AS004,2021,MI,365,8,25
2021AS005,2021,PBKS,1880,8,25
2021AS006,2021,RR,1365,8,24
2021AS007,2021,RCB,35,8,22
2021AS008,2021,SRH,695,8,25
2022AS001,2022,CSK,295,8,25
2022AS002,2022,DC,10,7,24
2022AS003,2022,GT,15,8,23
2022AS004,2022,KKR,45,8,25
2022AS005,2022,LSG,0,7,21
2022AS006,2022,MI,10,8,25
2022AS007,2022,PBKS,345,7,25
2022AS008,2022,RR,95,8,24
2022AS009,2022,RCB,155,8,22
2022AS010,2022,SRH,10,8,23
