ID,Season,Player Name,Role,Status,Base Price
2021AUSP001,2021,Hanuma Vihari,Batting Allrounder,UNSOLD,100
2021AUSP002,2021,Jason Behrendorff,Bowler,UNSOLD,100
2021AUSP003,2021,Gurkeerat Singh Mann,Batsman,UNSOLD,50
2021AUSP004,2021,Rassie van der Dussen,Batsman,UNSOLD,50
2021AUSP005,2021,Corey Anderson,Batting Allrounder,UNSOLD,75
2021AUSP006,2021,Vishnu Solanki,Batsman / Wicket-keeper,UNSOLD,20
2021AUSP007,2021,Pratyush Singh,Bowler,UNSOLD,20
2021AUSP008,2021,Tim David,Batsman,UNSOLD,20
2021AUSP009,2021,Gerald Coetzee,Bowler,UNSOLD,20
2021AUSP010,2021,Harsh Tyagi,Batting Allrounder,UNSOLD,20
2021AUSP011,2021,Jack Wildermuth,All Rounder,UNSOLD,50
2021AUSP012,2021,Ajay Dev Goud,Bowler,UNSOLD,20
2021AUSP013,2021,Chaitanya Bishnoi,Batting Allrounder,UNSOLD,20
2021AUSP014,2021,George Linde,Batting Allrounder,UNSOLD,50
2021AUSP015,2021,Isuru Udana,All Rounder,UNSOLD,50
2021AUSP016,2021,Chris Green,All Rounder,UNSOLD,30
2021AUSP017,2021,Reece Topley,Bowler,UNSOLD,50
2021AUSP018,2021,Wayne Parnell,All Rounder,UNSOLD,50
2021AUSP019,2021,Scott Kuggeleijn,Batting Allrounder,UNSOLD,50
2021AUSP020,2021,Simarjeet Singh,Bowler,UNSOLD,20
2021AUSP021,2021,Josh Inglis,Batsman / Wicket-keeper,UNSOLD,20
2021AUSP022,2021,Prerak Mankad,Batsman,UNSOLD,20
2021AUSP023,2021,Tajinder Singh,Batting Allrounder,UNSOLD,20
2021AUSP024,2021,Siddhesh Lad,Batsman,UNSOLD,20
2021AUSP025,2021,Sean Abbott,Bowler,UNSOLD,50
2021AUSP026,2021,Matthew Wade,Batsman / Wicket-keeper,UNSOLD,100
2021AUSP027,2021,Ben McDermott,Batsman / Wicket-keeper,UNSOLD,50
2021AUSP028,2021,Thisara Perera,All Rounder,UNSOLD,50
2021AUSP029,2021,G Periyaswamy,Bowler,UNSOLD,20
2021AUSP030,2021,Ben Dwarshuis,Bowler,UNSOLD,30
2021AUSP031,2021,KL Shrijith,Batsman / Wicket-keeper,UNSOLD,20
2021AUSP032,2021,Karan Sharma,Batting Allrounder,UNSOLD,20
2021AUSP033,2021,Naveen-ul-Haq,Bowler,UNSOLD,50
2021AUSP034,2021,Mitchell McClenaghan,Bowler,UNSOLD,50
2021AUSP035,2021,Billy Stanlake,Bowler,UNSOLD,100
2021AUSP036,2021,Mohit Sharma,Bowler,UNSOLD,50
2021AUSP037,2021,Oshane Thomas,Bowler,UNSOLD,50
2021AUSP038,2021,Varun Aaron,Bowler,UNSOLD,50
2021AUSP039,2021,Marnus Labuschagne,Batting Allrounder,UNSOLD,100
2021AUSP040,2021,Martin Guptill,Batsman,UNSOLD,50
2021AUSP041,2021,Darren Bravo,Batsman,UNSOLD,75
2021AUSP042,2021,Devon Conway,Batsman,UNSOLD,50
2021AUSP043,2021,Shaun Marsh,Batsman,UNSOLD,100
2021AUSP044,2021,Rovman Powell,Batsman,UNSOLD,50
2021AUSP045,2021,Tejas Baroka,Bowler,UNSOLD,20
2021AUSP046,2021,Sudhesan Midhun,Bowler,UNSOLD,20
2021AUSP047,2021,Sandeep Lamichhane,Bowler,UNSOLD,40
2021AUSP048,2021,Karanveer Singh,Bowler,UNSOLD,20
2021AUSP049,2021,Tushar Deshpande,Bowler,UNSOLD,20
2021AUSP050,2021,Kuldeep Sen,Bowler,UNSOLD,20
2021AUSP051,2021,Ankit Rajpoot,Bowler,UNSOLD,30
2021AUSP052,2021,Avi Barot,Batsman,UNSOLD,20
2021AUSP053,2021,Kedar Devdhar,Batsman / Wicket-keeper,UNSOLD,20
2021AUSP054,2021,Vivek Singh,Batsman,UNSOLD,20
2021AUSP055,2021,Ayush Badoni,All Rounder,UNSOLD,20
2021AUSP056,2021,Atit Sheth,Bowler,UNSOLD,20
2021AUSP057,2021,Himmat Singh,Batsman,UNSOLD,20
2021AUSP058,2021,Gahlaut Rahul Singh,Batsman,UNSOLD,20
2021AUSP059,2021,Himanshu Rana,Batsman,UNSOLD,20
2021AUSP060,2021,Qais Ahmad,Bowler,UNSOLD,50
2021AUSP061,2021,Ish Sodhi,Bowler,UNSOLD,50
2021AUSP062,2021,Rahul Sharma,Bowler,UNSOLD,50
2021AUSP063,2021,Adil Rashid,Bowler,UNSOLD,100
2021AUSP064,2021,Sheldon Cottrell,Bowler,UNSOLD,100
2021AUSP065,2021,Kusal Perera,Batsman / Wicket-keeper,UNSOLD,50
2021AUSP066,2021,Alex Carey,Batsman / Wicket-keeper,UNSOLD,100
2021AUSP067,2021,Glenn Phillips,Batsman / Wicket-keeper,UNSOLD,50
2021AUSP068,2021,Aaron Finch,Batsman,UNSOLD,100
2021AUSP069,2021,Evin Lewis,Batsman,UNSOLD,100
2021AUSP070,2021,Jason Roy,Batsman,UNSOLD,200
2021AUSP071,2021,Alex Hales,Batsman,UNSOLD,100
2022AUSP001,2022,Suresh Raina,Batsman,UNSOLD,200
2022AUSP002,2022,Steve Smith,Batsman,UNSOLD,200
2022AUSP003,2022,Shakib Al Hasan,All-Rounder,UNSOLD,200
2022AUSP004,2022,Adil Rashid,Bowler,UNSOLD,200
2022AUSP005,2022,Imran Tahir,Bowler,UNSOLD,200
2022AUSP006,2022,Mujeeb Zadran,Bowler,UNSOLD,200
2022AUSP007,2022,Adam Zampa,Bowler,UNSOLD,200
2022AUSP008,2022,James Vince,Batsman,UNSOLD,200
2022AUSP009,2022,Marchant De Lange,Bowler,UNSOLD,200
2022AUSP010,2022,Saqib Mahmood,Bowler,UNSOLD,200
2022AUSP011,2022,Ashton Agar,All-Rounder,UNSOLD,200
2022AUSP012,2022,Craig Overton,All-Rounder,UNSOLD,200
2022AUSP013,2022,Amit Mishra,Bowler,UNSOLD,150
2022AUSP014,2022,Aaron Finch,Batsman,UNSOLD,150
2022AUSP015,2022,Dawid Malan,Batsman,UNSOLD,150
2022AUSP016,2022,Eoin Morgan,Batsman,UNSOLD,150
2022AUSP017,2022,Ishant Sharma,Bowler,UNSOLD,150
2022AUSP018,2022,Chris Lynn,Batsman,UNSOLD,150
2022AUSP019,2022,Usman Khawaja,Batsman,UNSOLD,150
2022AUSP020,2022,Lewis Gregory,All-Rounder,UNSOLD,150
2022AUSP021,2022,Kane Richardson,Bowler,UNSOLD,150
2022AUSP022,2022,Colin Munro,All-Rounder,UNSOLD,150
2022AUSP023,2022,Marnus Labuschagne,Batsman,UNSOLD,100
2022AUSP024,2022,Piyush Chawla,Bowler,UNSOLD,100
2022AUSP025,2022,Tabraiz Shamsi,Bowler,UNSOLD,100
2022AUSP026,2022,Joshua Philippe,Wicket Keeper,UNSOLD,100
2022AUSP027,2022,Andrew Tye,Bowler,UNSOLD,100
2022AUSP028,2022,Rilee Rossouw,Batsman,UNSOLD,100
2022AUSP029,2022,Roston Chase,All-Rounder,UNSOLD,100
2022AUSP030,2022,Moises Henriques,All-Rounder,UNSOLD,100
2022AUSP031,2022,Kedar Jadhav,All-Rounder,UNSOLD,100
2022AUSP032,2022,Colin De Grandhomme,All-Rounder,UNSOLD,100
2022AUSP033,2022,James Faulkner,All-Rounder,UNSOLD,100
2022AUSP034,2022,Darcy Short,All-Rounder,UNSOLD,100
2022AUSP035,2022,Sheldon Cottrell,Bowler,UNSOLD,75
2022AUSP036,2022,Reece Topley,Bowler,UNSOLD,75
2022AUSP037,2022,Todd Astle,Bowler,UNSOLD,75
2022AUSP038,2022,Martin Guptill,Batsman,UNSOLD,75
2022AUSP039,2022,Ben Cutting,All-Rounder,UNSOLD,75
2022AUSP040,2022,Scott Kuggeleijn,All-Rounder,UNSOLD,75
2022AUSP041,2022,Dhawal Kulkarni,Bowler,UNSOLD,75
2022AUSP042,2022,Darren Bravo,Batsman,UNSOLD,75
2022AUSP043,2022,Carlos Brathwaite,All-Rounder,UNSOLD,75
2022AUSP044,2022,Keemo Paul,All-Rounder,UNSOLD,75
2022AUSP045,2022,Billy Stanlake,Bowler,UNSOLD,75
2022AUSP046,2022,Cheteshwar Pujara,Batsman,UNSOLD,50
2022AUSP047,2022,Saurabh Tiwary,Batsman,UNSOLD,50
2022AUSP048,2022,Qais Ahmad,Bowler,UNSOLD,50
2022AUSP049,2022,Ish Sodhi,Bowler,UNSOLD,50
2022AUSP050,2022,Najibullah Zadran,Batsman,UNSOLD,50
2022AUSP051,2022,Charith Asalanka,All-Rounder,UNSOLD,50
2022AUSP052,2022,George Garton,All-Rounder,UNSOLD,50
2022AUSP053,2022,Litton Das,Wicket Keeper,UNSOLD,50
