ID,Season,Player Name,Nationality,Playing Role,Status,Franchise
2021PARL001,2021,Kedar Jadhav,India,All Rounder,Released,CSK
2021PARL002,2021,Piyush Chawla,India,Bowler,Released,CSK
2021PARL003,2021,Shane Watson,Australia,Batsman,Released,CSK
2021PARL004,2021,Murali Vijay,India,Batsman,Released,CSK
2021PARL005,2021,Harbhajan Singh,India,Bowler,Released,CSK
2021PARL006,2021,Monu Kumar Singh,India,Bowler,Released,CSK
2021PARL007,2021,Alex Carey,Australia,Batsman,Released,DC
2021PARL008,2021,Jason Roy,England,Batsman,Released,DC
2021PARL009,2021,Mohit Sharma,India,Bowler,Released,DC
2021PARL010,2021,Keemo Paul,Guyana,All Rounder,Released,DC
2021PARL011,2021,Sandeep Lamichhane,Nepal,Bowler,Released,DC
2021PARL012,2021,Tushar Deshpande,India,Bowler,Released,DC
2021PARL013,2021,Tom Banton,England,Batsman / Wicket-keeper,Released,KKR
2021PARL014,2021,Harry Gurney,England,Bowler,Released,KKR
2021PARL015,2021,Chris Green,Australia,All Rounder,Released,KKR
2021PARL016,2021,Siddhesh Lad,India,Batsman,Released,KKR
2021PARL017,2021,Nikhil Naik,India,Batsman / Wicket-keeper,Released,KKR
2021PARL018,2021,M Siddharth,India,Bowler,Released,KKR
2021PARL019,2021,Nathan Coulter-Nile,Australia,Bowler,Released,MI
2021PARL020,2021,Lasith Malinga,Sri Lanka,Bowler,Released,MI
2021PARL021,2021,Sherfane Rutherford,Guyana,Batsman,Released,MI
2021PARL022,2021,Mitchell McClenaghan,New Zealand,Bowler,Released,MI
2021PARL023,2021,Prince Balwant Rai,India,All Rounder,Released,MI
2021PARL024,2021,Digvijay Deshmukh,India,Bowler,Released,MI
2021PARL025,2021,James Pattinson,Australia,Bowler,Released,Mi
2021PARL026,2021,Glenn Maxwell,Australia,All Rounder,Released,PBKS
2021PARL027,2021,Sheldon Cottrell,Jamaica,Bowler,Released,PBKS
2021PARL028,2021,Krishnappa Gowtham,India,All Rounder,Released,PBKS
2021PARL029,2021,Karun Nair,India,Bowler,Released,PBKS
2021PARL030,2021,Mujeeb Ur Rahman,Afghanistan,Bowler,Released,PBKS
2021PARL031,2021,James Neesham,New Zealand,All Rounder,Released,PBKS
2021PARL032,2021,Hardus Viljoen,South Africa,Bowler,Released,PBKS
2021PARL033,2021,J Suchith,India,All Rounder,Released,PBKS
2021PARL034,2021,Tajinder Singh,India,All Rounder,Released,PBKS
2021PARL035,2021,Steve Smith,Australia,Batsman,Released,RR
2021PARL036,2021,Ankit Rajpoot,India,Bowler,Released,RR
2021PARL037,2021,Varun Aaron,India,Bowler,Released,RR
2021PARL038,2021,Tom Curran,England,All Rounder,Released,RR
2021PARL039,2021,Oshane Thomas,Jamaica,Bowler,Released,RR
2021PARL040,2021,Shashank Singh,India,Batsman,Released,RR
2021PARL041,2021,Akash Singh,India,Bowler,Released,RR
2021PARL042,2021,Aniruddha Joshi,India,All Rounder,Released,RR
2021PARL043,2021,Chris Morris,South Africa,Bowler,Released,RCB
2021PARL044,2021,Shivam Dube,India,All Rounder,Released,RCB
2021PARL045,2021,Aaron Finch,Australia,Batsman,Released,RCB
2021PARL046,2021,Umesh Yadav,India,Bowler,Released,RCB
2021PARL047,2021,Dale Steyn,South Africa,Bowler,Released,RCB
2021PARL048,2021,Parthiv Patel,India,Batsman / Wicket-keeper,Released,RCB
2021PARL049,2021,Moeen Ali,England,All Rounder,Released,RCB
2021PARL050,2021,Pawan Negi,India,Bowler,Released,RCB
2021PARL051,2021,Gurkeerat Singh Mann,India,Batsman,Released,RCB
2021PARL052,2021,Isuru Udana,Sri Lanka,All Rounder,Released,RCB
2021PARL053,2021,Billy Stanlake,Australia,Bowler,Released,SRH
2021PARL054,2021,Fabian Allen,Jamaica,All Rounder,Released,SRH
2021PARL055,2021,Yarra Prithvi Raj,India,Bowler,Released,SRH
2021PARL056,2021,R Sanjay Yadav,India,All Rounder,Released,SRH
2021PARL057,2021,Bavanaka Sandeep,India,Batsman,Released,SRH
2022PARL001,2022,Faf du Plessis,South Africa,Batsman,Released,CSK
2022PARL002,2022,Ambati Rayudu,India,Batsman,Released,CSK
2022PARL003,2022,Suresh Raina,India,Batsman,Released,CSK
2022PARL004,2022,Cheteshwar Pujara,India,Batsman,Released,CSK
2022PARL005,2022,Hari Nishanth,India,Batsman,Released,CSK
2022PARL006,2022,Dwayne Bravo,Trinidad,All Rounder,Released,CSK
2022PARL007,2022,Bhagath Varma,India,All Rounder,Released,CSK
2022PARL008,2022,Krishnappa Gowtham,India,All Rounder,Released,CSK
2022PARL009,2022,Mitchell Santner,New Zealand,All Rounder,Released,CSK
2022PARL010,2022,Robin Uthappa,India,Batsman,Released,CSK
2022PARL011,2022,N Jagadeesan,India,Wicket keeper,Released,CSK
2022PARL012,2022,Deepak Chahar,India,Bowler,Released,CSK
2022PARL013,2022,Harishankar Reddy,India,Bowler,Released,CSK
2022PARL014,2022,Imran Tahir,South Africa,Bowler,Released,CSK
2022PARL015,2022,Karn Sharma,India,Bowler,Released,CSK
2022PARL016,2022,KM Asif,India,Bowler,Released,CSK
2022PARL017,2022,Lungi Ngidi,South Africa,Bowler,Released,CSK
2022PARL018,2022,R Sai Kishore,India,All Rounder,Released,CSK
2022PARL019,2022,Shardul Thakur,India,Bowler,Released,CSK
2022PARL020,2022,Jason Behrendorff,Australia,Bowler,Released,CSK
2022PARL021,2022,Josh Hazlewood,Australia,Bowler,Released,CSK
2022PARL022,2022,Dominic Drakes,Barbados,Bowler,Released,CSK
2022PARL023,2022,Devdutt Padikkal,India,Batsman,Released,RCB
2022PARL024,2022,Sachin Baby,India,Batsman,Released,RCB
2022PARL025,2022,Rajat Patidar,India,Batsman,Released,RCB
2022PARL026,2022,Suyash Prabhudessai,India,Batsman,Released,RCB
2022PARL027,2022,Tim David,Singapore,Batsman,Released,RCB
2022PARL028,2022,Pavan Deshpande,India,Batsman,Released,RCB
2022PARL029,2022,Daniel Christian,Australia,All Rounder,Released,RCB
2022PARL030,2022,Shahbaz Ahmed,India,All Rounder,Released,RCB
2022PARL031,2022,AB de Villiers,South Africa,Batsman / Wicket-keeper,Released,RCB
2022PARL032,2022,KS Bharat,India,Wicket keeper,Released,RCB
2022PARL033,2022,Mohammed Azharudeen,India,Wicket keeper,Released,RCB
2022PARL034,2022,Harshal Patel,India,Bowler,Released,RCB
2022PARL035,2022,Kyle Jamieson,New Zealand,Bowler,Released,RCB
2022PARL036,2022,Navdeep Saini,India,Bowler,Released,RCB
2022PARL037,2022,Yuzvendra Chahal,India,Bowler,Released,RCB
2022PARL038,2022,George Garton,England,Bowler,Released,RCB
2022PARL039,2022,Akash Deep,India,Bowler,Released,RCB
2022PARL040,2022,Chris Lynn,Australia,Batsman,Released,MI
2022PARL041,2022,Anmolpreet Singh,India,Batsman,Released,MI
2022PARL042,2022,Saurabh Tiwary,India,Batsman,Released,MI
2022PARL043,2022,Anukul Roy,India,All Rounder,Released,MI
2022PARL044,2022,Hardik Pandya,India,All Rounder,Released,MI
2022PARL045,2022,Krunal Pandya,India,All Rounder,Released,MI
2022PARL046,2022,James Neesham,New Zealand,All Rounder,Released,MI
2022PARL047,2022,Arjun Tendulkar,India,Bowler,Released,MI
2022PARL048,2022,Marco Jansen,South Africa,All Rounder,Released,MI
2022PARL049,2022,Piyush Chawla,India,Bowler,Released,MI
2022PARL050,2022,Roosh Kalaria,India,All Rounder,Released,MI
2022PARL051,2022,Quinton de Kock,South Africa,Wicket keeper,Released,MI
2022PARL052,2022,Ishan Kishan,India,Wicket keeper,Released,MI
2022PARL053,2022,Aditya Tare,India,Wicket keeper,Released,MI
2022PARL054,2022,Jayan Yadav,India,Bowler,Released,MI
2022PARL055,2022,Yudhvir Singh,India,Bowler,Released,MI
2022PARL056,2022,Adam Milne,New Zealand,Bowler,Released,MI
2022PARL057,2022,Dhawal Kulkarni,India,Bowler,Released,MI
2022PARL058,2022,Nathan Coulter-Nile,Australia,Bowler,Released,MI
2022PARL059,2022,Rahul Chahar,India,Bowler,Released,MI
2022PARL060,2022,Trent Boult,New Zealand,Bowler,Released,MI
2022PARL061,2022,David Warner,Australia,Batsman,Released,SRH
2022PARL062,2022,Manish Pandey,India,Batsman,Released,SRH
2022PARL063,2022,Priyam Garg,India,Batsman,Released,SRH
2022PARL064,2022,Virat Singh,India,Batsman,Released,SRH
2022PARL065,2022,Jason Roy,South Africa,Batsman,Released,SRH
2022PARL066,2022,Kedar Jadhav,India,All Rounder,Released,SRH
2022PARL067,2022,Vijay Shankar,India,All Rounder,Released,SRH
2022PARL068,2022,Sherfane Rutherford,Guyanese,Batsman,Released,SRH
2022PARL069,2022,Abhishek Sharma,India,All Rounder,Released,SRH
2022PARL070,2022,Jason Holder,Barbados,All Rounder,Released,SRH
2022PARL071,2022,Mohammad Nabi,Afgan,All Rounder,Released,SRH
2022PARL072,2022,Shreevats Goswami,India,Wicket keeper,Released,SRH
2022PARL073,2022,Wriddhiman Saha,India,Wicket keeper,Released,SRH
2022PARL074,2022,Bhuvneshwar Kumar,India,Bowler,Released,SRH
2022PARL075,2022,Basil Thampi,India,Bowler,Released,SRH
2022PARL076,2022,J Suchith,India,Bowler,Released,SRH
2022PARL077,2022,Khaleel Ahmed,India,Bowler,Released,SRH
2022PARL078,2022,Mujeeb Ur Rahman,Afgan,Bowler,Released,SRH
2022PARL079,2022,Rashid Khan,Afgan,Bowler,Released,SRH
2022PARL080,2022,Sandeep Sharma,India,Bowler,Released,SRH
2022PARL081,2022,Shahbaz Nadeem,India,Bowler,Released,SRH
2022PARL082,2022,Siddarth Kaul,India,Bowler,Released,SRH
2022PARL083,2022,T Natarajan,India,Bowler,Released,SRH
2022PARL084,2022,Liam Livingstone,England,All Rounder,Released,RR
2022PARL085,2022,Manan Vohra,India,Batsman,Released,RR
2022PARL086,2022,David Miller,South Africa,Batsman,Released,RR
2022PARL087,2022,Riyan Parag,India,Batsman,Released,RR
2022PARL088,2022,Evin Lewis,Trinidad,Batsman,Released,RR
2022PARL089,2022,Mahipal Lomror,India,All Rounder,Released,RR
2022PARL090,2022,Rahul Tewatia,India,All Rounder,Released,RR
2022PARL091,2022,Chris Morris,South Africa,All Rounder,Released,RR
2022PARL092,2022,Shivam Dube,India,All Rounder,Released,RR
2022PARL093,2022,Shreyas Gopal,India,All Rounder,Released,RR
