ID,Season,Player Name,Nationality,Playing Role,Status,Franchise,Salary
2021PART001,2021,MS Dhoni,India,Batsman / Wicket-keeper,Retained,CSK,1500
2021PART002,2021,Suresh Raina,India,Batsman,Retained,CSK,1100
2021PART003,2021,Ravindra Jadeja,India,All Rounder,Retained,CSK,700
2021PART004,2021,Dwayne Bravo,Trinidad and Tobago,All Rounder,Retained,CSK,640
2021PART005,2021,Sam Curran,England,All Rounder,Retained,CSK,550
2021PART006,2021,Karn Sharma,India,All Rounder,Retained,CSK,500
2021PART007,2021,Shardul Thakur,India,Bowler,Retained,CSK,260
2021PART008,2021,Ambati Rayudu,India,Batsman,Retained,CSK,220
2021PART009,2021,Josh Hazlewood,Australia,Bowler,Retained,CSK,200
2021PART010,2021,Faf du Plessis,South Africa,Batsman,Retained,CSK,160
2021PART011,2021,Imran Tahir,South Africa,Bowler,Retained,CSK,100
2021PART012,2021,Deepak Chahar,India,Bowler,Retained,CSK,80
2021PART013,2021,Lungisani Ngidi,South Africa,Bowler,Retained,CSK,50
2021PART014,2021,Mitchell Santner,New Zealand,Bowler,Retained,CSK,50
2021PART015,2021,KM Asif,India,Bowler,Retained,CSK,40
2021PART016,2021,Jagadeesan Narayan,India,Batsman / Wicket-keeper,Retained,CSK,20
2021PART017,2021,Ruturaj Gaikwad,India,Batsman,Retained,CSK,20
2021PART018,2021,R Sai Kishore,India,Bowler,Retained,CSK,20
2021PART019,2021,KL Rahul,India,Batsman / Wicket-keeper,Retained,PBKS,1100
2021PART020,2021,Mohammed Shami,India,Bowler,Retained,PBKS,480
2021PART021,2021,Nicholas Pooran,Trinidad and Tobago,Batsman,Retained,PBKS,420
2021PART022,2021,Chris Jordan,England,Bowler,Retained,PBKS,300
2021PART023,2021,Chris Gayle,Jamaica,Batsman,Retained,PBKS,200
2021PART024,2021,Ravi Bishnoi,India,Bowler,Retained,PBKS,200
2021PART025,2021,Mandeep Singh,India,All Rounder,Retained,PBKS,140
2021PART026,2021,Mayank Agarwal,India,Batsman,Retained,PBKS,100
2021PART027,2021,Prabhsimran Singh,India,Batsman / Wicket-keeper,Retained,PBKS,55
2021PART028,2021,Deepak Hooda,India,All Rounder,Retained,PBKS,50
2021PART029,2021,Darshan Nalkande,India,Bowler,Retained,PBKS,30
2021PART030,2021,Sarfaraz Khan,India,Batsman,Retained,PBKS,25
2021PART031,2021,Arshdeep Singh,India,Bowler,Retained,PBKS,20
2021PART032,2021,Harpreet Brar,India,Bowler,Retained,PBKS,20
2021PART033,2021,Murugan Ashwin,India,Bowler,Retained,PBKS,20
2021PART034,2021,Ishan Porel,India,Bowler,Retained,PBKS,20
2021PART035,2021,Rishabh Pant,India,Batsman / Wicket-keeper,Retained,DC,800
2021PART036,2021,Shimron Hetmyer,Guyana,Batsman,Retained,DC,775
2021PART037,2021,Ravichandran Ashwin,India,Bowler,Retained,DC,760
2021PART038,2021,Shreyas Iyer,India,Batsman,Retained,DC,700
2021PART039,2021,Ajinkya Rahane,India,Batsman,Retained,DC,525
2021PART040,2021,Shikhar Dhawan,India,Batsman,Retained,DC,520
2021PART041,2021,Axar Patel,India,All Rounder,Retained,DC,500
2021PART042,2021,Marcus Stoinis,Australia,All Rounder,Retained,DC,480
2021PART043,2021,Kagiso Rabada,South Africa,Bowler,Retained,DC,420
2021PART044,2021,Amit Mishra,India,Bowler,Retained,DC,400
2021PART045,2021,Chris Woakes,England,All Rounder,Retained,DC,150
2021PART046,2021,Prithvi Shaw,India,Batsman,Retained,DC,120
2021PART047,2021,Ishant Sharma,India,Bowler,Retained,DC,110
2021PART048,2021,Anrich Nortje,South Africa,Bowler,Retained,DC,89.82
2021PART049,2021,Avesh Khan,India,Bowler,Retained,DC,70
2021PART050,2021,Lalit Yadav,India,All Rounder,Retained,DC,20
2021PART051,2021,Praveen Dubey,India,Bowler,Retained,DC,20
2021PART052,2021,Ben Stokes,England,All Rounder,Retained,RR,1250
2021PART053,2021,Sanju Samson,India,Batsman / Wicket-keeper,Retained,RR,800
2021PART054,2021,Jofra Archer,England,Bowler,Retained,RR,720
2021PART055,2021,Jos Buttler,England,Batsman / Wicket-keeper,Retained,RR,440
2021PART056,2021,Robin Uthappa,India,Batsman,Retained,RR,300
2021PART057,2021,Jaydev Unadkat,India,Bowler,Retained,RR,300
2021PART058,2021,Rahul Tewatia,India,All Rounder,Retained,RR,300
2021PART059,2021,Yashasvi Jaiswal,India,Batsman,Retained,RR,240
2021PART060,2021,Mayank Markande,India,Bowler,Retained,RR,200
2021PART061,2021,Kartik Tyagi,India,Bowler,Retained,RR,130
2021PART062,2021,Andrew Tye,Australia,Bowler,Retained,RR,100
2021PART063,2021,Anuj Rawat,India,Batsman / Wicket-keeper,Retained,RR,80
2021PART064,2021,David Miller,South Africa,Batsman,Retained,RR,75
2021PART065,2021,Mahipal Lomror,India,All Rounder,Retained,RR,20
2021PART066,2021,Manan Vohra,India,Batsman,Retained,RR,20
2021PART067,2021,Riyan Parag,India,Batsman,Retained,RR,20
2021PART068,2021,Shreyas Gopal,India,All Rounder,Retained,RR,20
2021PART069,2021,Pat Cummins,Australia,Bowler,Retained,KKR,1550
2021PART070,2021,Sunil Narine,Trinidad and Tobago,All Rounder,Retained,KKR,850
2021PART071,2021,Andre Russell,Jamaica,All Rounder,Retained,KKR,700
2021PART072,2021,Dinesh Karthik,India,Batsman / Wicket-keeper,Retained,KKR,740
2021PART073,2021,Kuldeep Yadav,India,Bowler,Retained,KKR,580
2021PART074,2021,Eoin Morgan,England,Batsman,Retained,KKR,525
2021PART075,2021,Varun Chakravarthy,India,Bowler,Retained,KKR,400
2021PART076,2021,Nitish Rana,India,Batsman,Retained,KKR,340
2021PART077,2021,Kamlesh Nagarkoti,India,Bowler,Retained,KKR,320
2021PART078,2021,Shivam Mavi,India,Bowler,Retained,KKR,300
2021PART079,2021,Shubman Gill,India,Batsman,Retained,KKR,180
2021PART080,2021,Lockie Ferguson,New Zealand,Bowler,Retained,KKR,160
2021PART081,2021,Rinku Singh,India,Batsman,Retained,KKR,80
2021PART082,2021,Rahul Tripathi,India,Batsman,Retained,KKR,60
2021PART083,2021,Tim Seifert,New Zealand,Batsman / Wicket-keeper,Retained,KKR,50
2021PART084,2021,Prasidh Krishna,India,Bowler,Retained,KKR,20
2021PART085,2021,Sandeep Warrier,India,Bowler,Retained,KKR,20
2021PART086,2021,Rohit Sharma,India,Batsman,Retained,MI,1500
2021PART087,2021,Hardik Pandya,India,All Rounder,Retained,MI,1100
2021PART088,2021,Krunal Pandya,India,All Rounder,Retained,MI,880
2021PART089,2021,Jasprit Bumrah,India,Bowler,Retained,MI,700
2021PART090,2021,Ishan Kishan,India,Batsman,Retained,MI,620
2021PART091,2021,Kieron Pollard,Trinidad and Tobago,All Rounder,Retained,MI,540
2021PART092,2021,Suryakumar Yadav,India,Batsman,Retained,MI,320
2021PART093,2021,Trent Boult,New Zealand,Bowler,Retained,MI,320
2021PART094,2021,Quinton de Kock,South Africa,Batsman / Wicket-keeper,Retained,MI,280
2021PART095,2021,Chris Lynn,Australia,Batsman,Retained,MI,200
2021PART096,2021,Rahul Chahar,India,Bowler,Retained,MI,190
2021PART097,2021,Anmolpreet Singh,India,Batsman,Retained,MI,80
2021PART098,2021,Dhawal Kulkarni,India,Bowler,Retained,MI,75
2021PART099,2021,Jayant Yadav,India,All Rounder,Retained,MI,50
2021PART100,2021,Saurabh Tiwary,India,Batsman,Retained,MI,50
2021PART101,2021,Aditya Tare,India,Batsman / Wicket-keeper,Retained,MI,20
2021PART102,2021,Anukul Roy,India,All Rounder,Retained,MI,20
2021PART103,2021,Mohsin Khan,India,Bowler,Retained,MI,20
2021PART104,2021,Virat Kohli,India,Batsman,Retained,RCB,1700
2021PART105,2021,AB de Villiers,South Africa,Batsman / Wicket-keeper,Retained,RCB,1100
2021PART106,2021,Yuzvendra Chahal,India,Bowler,Retained,RCB,600
2021PART107,2021,Kane Richardson,Australia,Bowler,Retained,RCB,400
2021PART108,2021,Washington Sundar,India,All Rounder,Retained,RCB,320
2021PART109,2021,Navdeep Saini,India,Bowler,Retained,RCB,300
2021PART110,2021,Mohammed Siraj,India,Bowler,Retained,RCB,260
2021PART111,2021,Adam Zampa,Australia,Bowler,Retained,RCB,150
2021PART112,2021,Josh Philippe,Australia,Batsman / Wicket-keeper,Retained,RCB,20
2021PART113,2021,Devdutt Padikkal,India,Batsman,Retained,RCB,20
2021PART114,2021,Pavan Deshpande,India,All Rounder,Retained,RCB,20
2021PART115,2021,Shahbaz Ahmed,India,All Rounder,Retained,RCB,20
2021PART116,2021,David Warner,Australia,Batsman,Retained,SRH,1200
2021PART117,2021,Manish Pandey,India,Batsman,Retained,SRH,1100
2021PART118,2021,Rashid Khan,Afghanistan,Bowler,Retained,SRH,900
2021PART119,2021,Bhuvneshwar Kumar,India,Bowler,Retained,SRH,850
2021PART120,2021,Siddarth Kaul,India,Bowler,Retained,SRH,380
2021PART121,2021,Shahbaz Nadeem,India,Bowler,Retained,SRH,320
2021PART122,2021,Vijay Shankar,India,All Rounder,Retained,SRH,320
2021PART123,2021,Kane Williamson,New Zealand,Batsman,Retained,SRH,300
2021PART124,2021,Khaleel Ahmed,India,Bowler,Retained,SRH,300
2021PART125,2021,Sandeep Sharma,India,Bowler,Retained,SRH,300
2021PART126,2021,Jonny Bairstow,England,Batsman / Wicket-keeper,Retained,SRH,220
2021PART127,2021,Mitchell Marsh,Australia,All Rounder,Retained,SRH,200
2021PART128,2021,Priyam Garg,India,Batsman,Retained,SRH,190
2021PART129,2021,Virat Singh,India,Batsman,Retained,SRH,190
2021PART130,2021,Wriddhiman Saha,India,Batsman / Wicket-keeper,Retained,SRH,120
2021PART131,2021,Mohammad Nabi,Afghanistan,All Rounder,Retained,SRH,100
2021PART132,2021,Shreevats Goswami,India,Batsman / Wicket-keeper,Retained,SRH,100
2021PART133,2021,Basil Thampi,India,Bowler,Retained,SRH,95
2021PART134,2021,Jason Holder,Barbados,All Rounder,Retained,SRH,75
2021PART135,2021,Abhishek Sharma,India,All Rounder,Retained,SRH,55
2021PART136,2021,Thangarasu Natarajan,India,Bowler,Retained,SRH,40
2021PART137,2021,Abdul Samad,India,All Rounder,Retained,SRH,20
2022PART001,2022,Ravindra Jadeja,India,All Rounder,Retained,CSK,1600
2022PART002,2022,MS Dhoni,India,Batsman / Wicket-keeper,Retained,CSK,1200
2022PART003,2022,Moeen Ali,England,All Rounder,Retained,CSK,800
2022PART004,2022,Ruturaj Gaikwad,India,Batsman,Retained,CSK,600
2022PART005,2022,Andre Russell,Jamaica,All Rounder,Retained,KKR,1200
2022PART006,2022,Varun Chakravarthy,India,Bowler,Retained,KKR,800
2022PART007,2022,Venkatesh Iyer,India,Batsman,Retained,KKR,800
2022PART008,2022,Sunil Narine,India,All Rounder,Retained,KKR,600
2022PART009,2022,Rohit Sharma,India,Batsman,Retained,MI,1600
2022PART010,2022,Jasprit Bumrah,India,Bowler,Retained,MI,1200
2022PART011,2022,Suryakumar Yadav,India,Batsman,Retained,MI,800
2022PART012,2022,Kieron Pollard,Trinidad and Tobago,All Rounder,Retained,MI,600
2022PART013,2022,Rishabh Pant,India,Batsman / Wicket-keeper,Retained,DC,1600
2022PART014,2022,Prithvi Shaw,India,Batsman,Retained,DC,900
2022PART015,2022,Axar Patel,India,All Rounder,Retained,DC,750
2022PART016,2022,Anrich Nortje,South Africa,Bowler,Retained,DC,650
2022PART017,2022,Kane Williamson,New Zealand,Batsman,Retained,SRH,1400
2022PART018,2022,Abdul Samad,India,Batsman,Retained,SRH,400
2022PART019,2022,Umran Malik,India,Bowler,Retained,SRH,400
2022PART020,2022,Virat Kohli,India,Batsman,Retained,RCB,1500
2022PART021,2022,Glen Maxwell,Australia,All Rounder,Retained,RCB,1100
2022PART022,2022,Mohd Siraj,India,Bowler,Retained,RCB,700
2022PART023,2022,Sanju Samson,India,Batsman,Retained,RR,1400
2022PART024,2022,Jos Buttler,England,Batsman / Wicket-keeper,Retained,RR,1000
2022PART025,2022,Yashasvi Jaiswal,India,Batsman,Retained,RR,400
2022PART026,2022,Arshdeep Singh,India,Bowler,Retained,PBKS,400
2022PART027,2022,Mayank Agarwal,India,Batsman,Retained,PBKS,1200
2022PART028,2022,Hardik Pandya,India,All Rounder,Retained,GT,1500
2022PART029,2022,Rashid Khan,Afghanistan,Bowler,Retained,GT,1500
2022PART030,2022,Shubman Gill,India,Batsman,Retained,GT,800
2022PART031,2022,KL Rahul,India,Batsman / Wicket-keeper,Retained,LSG,1700
2022PART032,2022,Marcus Stoinis,Australia,All Rounder,Retained,LSG,920
2022PART033,2022,Ravi Bishnoi,India,Bowler,Retained,LSG,400
